Country,Region,Year,v2x_polyarchy,v2x_libdem,v2x_regime,Digital Repression Index 2021,Gov SM surveillance v2smgovsmmon,Gov disinfo v2smgovdom,Pol party disinfo v2smpardom,Gov filtering v2smgovfilprc,Gov internet shutdowns v2smgovshut,Gov SM Shutdown v2smgovsm,Gov SM censorship v2smgovsmcenprc,Arrests online users (v2smarrest),AIGS?
Afghanistan,SCA,2021,0.16,0.021,CA,0.817572176,1.054,1.564,2.702,0.941,-0.202,0.71,-0.427,2.164,
Albania,EUR,2021,0.478,0.403,EA,-0.291089863,0.151,0.31,-0.13,0.117,-0.806,-1.582,-0.912,-1.25,
Algeria,MENA,2021,0.284,0.145,EA,1.353595972,2.14,1.675,0.594,1.72,1.383,1.974,1.302,1.37,x
Angola,AFR,2021,0.351,0.19,EA,-0.251761854,0.129,-0.233,0.419,-0.879,-0.374,-0.608,-0.875,-1.048,x
Argentina,WHA,2021,0.819,0.658,ED,-1.13125968,-0.507,-0.925,-1.205,-2.233,-1.849,-1.827,-1.67,-2.632,x
Armenia,EUR,2021,0.739,0.556,ED,-0.574159563,-0.72,0.627,0.771,-1.005,-1.425,-1.831,-1.779,-0.97,x
Australia,EAP,2021,0.854,0.808,LD,-0.896487296,-1.481,-0.677,-1.292,-2.001,-1.285,-1.299,-1.425,-1.369,x
Austria,EUR,2021,0.825,0.749,ED,-1.115936875,-0.957,-1.204,-0.186,-1.917,-1.711,-1.735,-1.999,-2.543,x
Azerbaijan,EUR,2021,0.194,0.068,EA,1.236694694,2.616,2.971,0.975,1.882,0.678,0.5,0.502,1.474,
Bahrain,MENA,2021,0.122,0.052,CA,1.114753246,1.769,1.337,1.098,2.357,0.883,-0.486,0.934,2.928,x
Bangladesh,SCA,2021,0.267,0.12,EA,1.390320778,2.44,1.268,0.801,1.351,1.128,1.292,2.561,2.293,x
Barbados,WHA,2021,0.797,0.683,LD,-0.892107546,-0.941,-1.17,-1.254,-1.332,-1.788,-1.261,-1.094,-1.83,
Belarus,EUR,2021,0.183,0.039,EA,1.481751919,2.235,2.427,0.93,2.01,2.561,1.684,0.029,1.591,x
Belgium,EUR,2021,0.885,0.815,LD,-1.311864018,-0.707,-1.953,-0.645,-2.552,-1.839,-1.868,-2.035,-2.607,x
Benin,AFR,2021,0.421,0.28,EA,-0.36455074,0.285,-0.859,-0.66,-1.328,-0.965,-0.524,-0.942,0.241,
Bhutan,SCA,2021,0.573,0.479,LD,0.965505838,1.413,1.02,-1.025,1.15,1.587,1.258,0.866,1.175,
Bolivia,WHA,2021,0.619,0.369,ED,-0.102711119,0.164,1.11,1.183,-0.743,-1.059,-1.256,-0.651,-0.06,x
Bosnia and Herzegovina,EUR,2021,0.526,0.353,ED,-0.633582115,-1.334,0.346,1.316,-1.841,-1.828,-1.752,-0.691,-0.788,x
Botswana,AFR,2021,0.595,0.486,LD,-0.864805818,-2.322,0.136,0.197,-2.021,-1.736,-1.77,-1.786,-0.314,x
Brazil,WHA,2021,0.661,0.512,ED,-0.086102366,0.001,2.246,0.888,0.291,-1.578,-1.984,-0.449,-0.936,x
Bulgaria,EUR,2021,0.656,0.548,ED,-0.916257858,-1.188,-0.228,0.071,-2.046,-1.797,-1.836,-1.417,-1.651,
Burkina Faso,AFR,2021,0.664,0.476,ED,0.93565768,1.981,-0.648,-0.612,0.654,2.268,1.38,1.549,1.043,
Burma/Myanmar,EAP,2021,0.126,0.083,CA,2.014614344,2.34,3.092,-0.149,1.776,2.314,2.732,3.011,3.054,x
Burundi,AFR,2021,0.184,0.076,EA,1.065953374,0.975,1.384,1.812,0.783,0.298,1.154,1.155,2.876,
Cambodia,EAP,2021,0.195,0.065,EA,0.947526991,1.027,2.433,1.159,2.514,-0.53,-0.625,0.876,2.105,x
Cameroon,AFR,2021,0.299,0.126,EA,0.3824929,0.746,-0.328,-0.305,-0.471,0.263,0.076,1.315,1.417,x
Canada,WHA,2021,0.857,0.755,LD,-1.329966784,-1.605,-2.149,-1.672,-1.845,-1.809,-1.753,-1.962,-2.444,x
Cape Verde,AFR,2021,0.747,0.648,ED,-0.909100175,-1.988,-1.33,-0.999,-1.502,-1.281,-1.327,-1.066,-1.399,
Central African Republic,AFR,2021,0.333,0.161,EA,-0.218163967,-1.275,0.044,1.379,-0.556,-0.546,-1.064,-1.17,0.6,
Chad,AFR,2021,0.209,0.067,CA,1.369814396,0.67,1.373,0.861,1.673,2.146,2.549,1.122,1.567,
Chile,WHA,2021,0.834,0.77,LD,-0.93740207,-1.34,-1.191,-0.38,-1.098,-1.846,-1.913,-1.19,-1.598,x
China,EAP,2021,0.078,0.044,CA,1.887926698,3.066,2.606,2.694,2.86,0.703,2.104,2.345,2.528,x
Colombia,WHA,2021,0.645,0.471,ED,0.76780206,2.351,1.348,1.854,1.267,0.039,-0.156,0.709,0.231,x
Comoros,AFR,2021,0.32,0.126,EA,0.36741057,0.357,0.749,0.009,0.816,0.073,-0.462,0.246,0.601,
Costa Rica,WHA,2021,0.9,0.85,LD,-1.185838938,-2.312,-2.399,-2.2,-1.088,-1.737,-1.756,-0.922,-1.825,
Croatia,EUR,2021,0.751,0.634,ED,-0.897723854,-0.961,-1.418,-0.52,-1.744,-1.212,-1.395,-1.853,-1.052,x
Cuba,WHA,2021,0.181,0.077,CA,1.762316585,2.155,3.145,2.897,3.317,1.41,1.168,0.982,2.466,
Cyprus,EUR,2021,0.816,0.689,LD,-1.04843235,-1.357,-1.269,-1.647,-1.951,-1.899,-1.78,-0.962,-1.4,
Czech Republic,EUR,2021,0.805,0.709,ED,-1.052292347,-1.164,-0.43,-0.687,-1.76,-1.848,-1.937,-1.555,-2.634,x
Democratic Republic of the Congo,AFR,2021,0.358,0.16,EA,0.13343969,0.193,-0.007,0.034,-0.42,0.052,0.183,-0.436,0.518,
Denmark,EUR,2021,0.908,0.877,LD,-1.537628055,-2.096,-2.67,-2.993,-2.336,-1.773,-1.739,-1.94,-2.529,x
Djibouti,AFR,2021,0.252,0.124,EA,0.897259951,0.88,1.077,0.874,0.781,0.541,1.065,1.569,1.138,
Dominican Republic,WHA,2021,0.683,0.472,ED,-1.224984527,-0.977,-2.039,-0.421,-2.213,-1.653,-1.7,-1.857,-2.492,x
Ecuador,WHA,2021,0.644,0.466,ED,0.181345925,0.531,0.296,0.726,0.343,-0.83,-0.755,1.045,-0.22,x
Egypt,MENA,2021,0.184,0.123,EA,1.269669652,1.254,2.351,1.266,2.441,0.289,0.75,1.19,2.387,x
El Salvador,WHA,2021,0.467,0.215,EA,-0.357251167,-0.507,1.776,0.965,-1.381,-1.697,-1.733,-0.971,-0.458,
Equatorial Guinea,AFR,2021,0.174,0.054,EA,1.39691186,2.895,0.819,0.34,1.343,1.105,1.994,1.841,2.689,
Eritrea,AFR,2021,0.069,0.01,CA,1.656985998,1.257,2.979,2.821,1.659,1.639,1.502,1.697,2.839,
Estonia,EUR,2021,0.891,0.837,LD,-1.26621449,-1.475,-1.929,-0.966,-2.137,-1.681,-1.742,-1.855,-2.396,
Eswatini,AFR,2021,0.129,0.11,CA,1.258222699,1.905,0.72,1.115,1.244,1.847,1.849,1.462,1.442,
Ethiopia,AFR,2021,0.314,0.151,EA,1.632837772,0.903,1.571,1.695,2.653,2.434,2.851,1.695,0.954,
Fiji,EAP,2021,0.403,0.269,EA,-0.244876504,0.417,-0.682,-1.036,-0.538,-0.911,-0.777,0.11,-0.527,
Finland,EUR,2021,0.868,0.829,LD,-1.406489134,-2.067,-2.75,-0.655,-2.249,-1.702,-1.694,-1.839,-2.504,
France,EUR,2021,0.874,0.795,LD,-0.657324493,-1.16,-1.113,-1.36,-1.163,-1.134,-1.031,-0.382,-1.163,x
Gabon,AFR,2021,0.377,0.207,EA,0.741033494,0.072,1.133,0.423,-0.297,1.808,1.007,-0.119,2.002,
Georgia,EUR,2021,0.648,0.493,ED,-0.544482768,0.057,0.781,0.021,-1.089,-1.914,-1.853,-1.036,-1.225,x
Germany,EUR,2021,0.87,0.822,LD,-0.958999217,-0.71,-2.195,-1.197,-1.219,-1.808,-1.331,-0.631,-2.078,x
Ghana,AFR,2021,0.663,0.568,ED,-0.775149286,-0.93,-1.219,0.399,-1.136,-1.285,-1.664,-1.832,-0.705,x
Greece,EUR,2021,0.797,0.668,LD,-1.074073672,-1.53,-1.012,-0.083,-1.823,-1.756,-1.693,-1.599,-2.439,x
Guatemala,WHA,2021,0.502,0.324,ED,-0.572986484,-0.25,1.233,0.695,-1.449,-1.753,-1.76,-2.068,-0.869,
Guinea,AFR,2021,0.279,0.111,CA,0.947672367,-0.075,0.803,0.553,0.412,1.454,0.602,2.379,2.089,
Guinea-Bissau,AFR,2021,0.557,0.357,ED,-0.145319328,-0.05,-0.501,0.463,-0.381,-0.597,-0.518,-0.573,-0.127,
Guyana,WHA,2021,0.537,0.367,ED,-0.296036422,0.262,0.783,1.031,-1.255,-1.662,-1.111,-0.6,-0.707,
Haiti,WHA,2021,0.353,0.21,EA,-0.23990421,-1.002,1.677,1.403,-1.387,-0.402,-1.646,-1.757,0.359,
Honduras,WHA,2021,0.393,0.239,EA,-0.313045353,0.851,0.78,0.538,-0.397,-1.694,-1.676,-0.463,-1.634,
Hong Kong,EAP,2021,0.267,0.199,CA,0.882239699,0.069,3.058,2.911,0.909,-0.523,-0.706,1.939,1.409,x
Hungary,EUR,2021,0.462,0.362,EA,-0.509154797,-0.489,0.866,1.38,-0.99,-1.786,-1.834,-1.007,-1.5,x
Iceland,EUR,2021,0.832,0.752,LD,-1.173788667,-2.447,-1.763,0.262,-1.952,-1.502,-1.511,-1.726,-2.253,
India,SCA,2021,0.444,0.357,EA,1.012874365,0.697,0.772,1.091,1.038,2.081,1.278,0.747,1.209,x
Indonesia,EAP,2021,0.585,0.428,ED,-0.083197117,0.691,-0.573,0.021,0.001,-1.126,-0.058,-0.22,-0.62,x
Iran,MENA,2021,0.182,0.124,EA,1.586163282,1.893,2.091,1.93,2.428,1.453,2.344,1.721,1.028,x
Iraq,MENA,2021,0.373,0.219,EA,0.635283113,0.121,2.523,1.96,-0.203,0.868,0.356,-0.02,0.012,x
Ireland,EUR,2021,0.885,0.82,LD,-1.176193714,-1.577,-2.123,-2.606,-2.276,-1.721,-0.75,-2.013,-1.121,
Israel,MENA,2021,0.739,0.653,LD,-0.250271857,1.006,-0.422,0.069,-0.177,-0.776,-1.351,-0.351,-1.331,x
Italy,EUR,2021,0.851,0.773,LD,-1.096622109,-2.056,-1.724,-0.025,-1.299,-0.866,-1.807,-2.127,-2.419,x
Ivory Coast,AFR,2021,0.431,0.241,EA,0.163366199,1.503,0.621,0.386,0.218,-1.731,-0.348,-0.079,0.592,x
Jamaica,WHA,2021,0.806,0.69,ED,-1.0632056,0.025,-2.123,-2.285,-2.079,-1.625,-1.635,-1.807,-0.752,x
Japan,EAP,2021,0.835,0.736,LD,-1.123112917,-1.598,-0.851,-1.109,-1.796,-1.815,-1.858,-1.661,-2.281,x
Jordan,MENA,2021,0.258,0.25,CA,0.234546617,0.511,0.908,-1.109,0.953,-0.675,-0.944,0.567,0.402,
Kazakhstan,SCA,2021,0.257,0.128,EA,1.1713413,0.779,1.707,1.653,1.559,1.189,1.523,1.353,0.916,x
Kenya,AFR,2021,0.471,0.4,EA,-0.177775517,0.696,0.465,0.142,-0.873,-1.244,-1.242,0.048,-0.475,x
Kosovo,EUR,2021,0.601,0.421,ED,-0.541121066,0.856,-1.014,-0.318,-1.443,-1.447,-1,-0.288,-1.652,
Kuwait,MENA,2021,0.298,0.272,CA,0.203781262,0.768,0.6,-0.218,0.551,-0.713,-1.404,1.017,0.464,
Kyrgyzstan,SCA,2021,0.421,0.269,EA,-0.137052611,-0.406,0.406,0.252,-0.316,-0.857,-1.082,-0.49,0.186,x
Laos,EAP,2021,0.133,0.097,CA,0.570996642,1.451,0.662,-1.113,0.958,-0.723,-0.514,1.12,2.669,x
Latvia,EUR,2021,0.826,0.733,LD,-1.412154794,-1.732,-2.858,-0.9,-2.005,-1.78,-1.77,-2.037,-2.473,
Lebanon,MENA,2021,0.455,0.282,EA,0.668000937,0.857,1.179,2.228,-0.351,0.043,0.436,1.168,1.175,x
Lesotho,AFR,2021,0.623,0.503,ED,-0.130817294,0.128,0.228,0.406,-0.462,-1.1,-0.96,-0.182,-0.093,
Liberia,AFR,2021,0.624,0.46,ED,-0.125732049,-0.897,0.182,-1.136,-0.538,-0.186,-0.635,-0.418,0.432,
Libya,MENA,2021,0.272,0.15,CA,0.073493272,-0.605,0.658,1.002,-1.114,0.22,0.011,-0.226,-0.177,
Lithuania,EUR,2021,0.797,0.736,ED,-1.327607036,-1.85,-1.838,-1.459,-2.473,-1.723,-1.782,-1.929,-1.995,
Luxembourg,EUR,2021,0.878,0.797,LD,-1.172203302,-1.568,-1.26,-1.038,-2.42,-1.726,-1.712,-1.858,-1.644,
Madagascar,AFR,2021,0.481,0.241,EA,0.042474844,0.862,0.626,1.542,-0.912,-0.68,-0.94,-0.653,0.749,x
Malawi,AFR,2021,0.618,0.533,ED,-0.566785455,0.257,-0.796,-0.318,-1.488,-0.985,-1.855,-0.614,-0.629,
Malaysia,EAP,2021,0.413,0.293,EA,-0.076143205,0.266,-0.179,-0.87,-0.445,-0.721,-0.56,-0.05,0.362,x
Maldives,SCA,2021,0.596,0.445,ED,-0.012293493,0.252,-0.745,0.231,0.158,-0.462,-0.175,-0.32,-0.077,
Mali,AFR,2021,0.254,0.183,CA,-0.252412021,-0.025,-1.596,-1.329,-0.486,-0.605,-1.681,1.216,0.665,
Malta,EUR,2021,0.777,0.635,ED,-0.585251451,0.028,0.542,2.101,-1.376,-1.645,-1.675,-1.796,-1.781,x
Mauritania,AFR,2021,0.385,0.168,EA,0.257919371,1.428,0.354,-0.192,-0.118,-0.633,-0.431,0.244,1.125,
Mauritius,AFR,2021,0.593,0.464,ED,0.177643493,1.403,0.653,0.222,-0.211,-1.122,-0.869,0.355,0.871,x
Mexico,WHA,2021,0.628,0.387,ED,-0.518909156,-0.367,1.496,0.93,-2.2,-1.776,-1.798,-0.886,-0.932,x
Moldova,EUR,2021,0.738,0.615,ED,-0.968562603,-1.187,-1.836,-1.729,-0.523,-1.661,-1.675,-1.682,-1.313,x
Mongolia,EAP,2021,0.628,0.494,ED,-0.814999521,-1.387,-0.563,0.38,-1.378,-1.772,-1.742,-1.018,-1.517,x
Montenegro,EUR,2021,0.496,0.389,EA,-0.405339748,0.285,0.487,2.249,-1.809,-1.664,-1.433,-0.934,-0.656,
Morocco,MENA,2021,0.261,0.241,CA,0.774875462,0.838,0.844,-0.589,0.695,1.053,1.234,0.74,0.958,x
Mozambique,AFR,2021,0.356,0.241,EA,-0.494529992,-0.501,0.393,0.613,-1.081,-1.777,-1.732,-0.849,-0.505,
Namibia,AFR,2021,0.634,0.514,ED,-0.685774446,0.25,-0.262,-0.626,-1.835,-1.292,-1.733,-1.228,-1.153,x
Nepal,SCA,2021,0.589,0.464,ED,0.482308388,0.136,0.567,0.672,0.026,0.345,0.494,0.554,0.988,
Netherlands,EUR,2021,0.862,0.81,LD,-1.23278892,-1.152,-1.686,-1.454,-2.234,-1.802,-1.843,-2.133,-1.579,x
New Zealand,EAP,2021,0.887,0.837,LD,-1.143685341,-1.049,-2.169,-1.489,-1.071,-1.731,-1.754,-1.479,-2.519,x
Nicaragua,WHA,2021,0.233,0.055,EA,1.890940905,2.26,3.526,1.027,3.144,1.207,1.692,2.224,2.615,
Niger,AFR,2021,0.522,0.397,ED,0.441684395,-0.4,0.698,-0.798,0.578,0.519,0.697,0.011,0.969,
Nigeria,AFR,2021,0.491,0.34,EA,-0.144258901,-0.017,-0.452,0.474,-0.418,-1.235,-0.464,-0.71,0.801,x
North Korea,EAP,2021,0.085,0.015,CA,2.969906807,3.689,2.627,2.127,3.869,4.147,4.01,4.996,3.091,x
North Macedonia,EUR,2021,0.586,0.396,ED,-0.477058649,0.494,-0.69,0.436,-0.58,-1.502,-1.588,-0.56,-1.271,
Norway,EUR,2021,0.898,0.857,LD,-1.437803388,-2.041,-2.625,-0.991,-2.321,-1.556,-1.846,-1.995,-2.588,
Oman,MENA,2021,0.176,0.141,CA,0.890875638,1.927,0.263,-1.331,1.916,0.567,0.613,1.385,1.683,
Pakistan,SCA,2021,0.363,0.226,EA,0.654068112,1.26,1.099,0.978,1.308,0.316,-0.042,0.562,0.237,x
Palestine/Gaza,MENA,2021,0.134,0.06,CA,0.403861195,1.393,0.62,1.418,-0.429,-1.198,-0.451,1.273,1.681,
Palestine/West Bank,MENA,2021,0.253,0.143,EA,-0.101426326,0.963,-0.559,0.74,-0.602,-1.233,-1.604,0.104,1.348,
Panama,WHA,2021,0.75,0.56,ED,-0.816019177,-1.294,-0.874,0.645,-0.886,-1.71,-1.708,-1.584,-1.442,x
Papua New Guinea,EAP,2021,0.425,0.336,EA,-0.851111829,-0.723,-1.159,-0.471,-1.696,-1.234,-1.482,-1.266,-1.706,x
Paraguay,WHA,2021,0.57,0.426,ED,-0.805787861,-1.741,-0.043,0.741,-1.979,-1.466,-1.628,-1.581,-1.07,x
Peru,WHA,2021,0.759,0.654,ED,-0.913107455,-2.018,-0.319,-0.086,-1.804,-1.372,-1.444,-1.447,-2.096,x
Philippines,EAP,2021,0.429,0.281,EA,0.420167863,1.369,2.115,1.681,-0.317,0.01,-1.199,-0.169,0.78,x
