country_name,country_id,country_text_id,year,v2x_libdem,v2x_polyarchy,v2x_api,v2x_mpi,v2x_freexp_altinf,v2xlg_legcon,v2x_jucon,v2xcs_ccsi,v2x_corr,v2x_civlib,v2xcl_rol,v2x_clphy,v2x_clpriv,v2x_clpol,v2xeg_eqprotec,v2xeg_eqaccess,v2xeg_eqdr
Argentina,37,ARG,2000,0.676,0.836,0.93,0.742,0.955,0.736,0.717,0.939,0.46,0.938,0.926,0.947,0.926,0.957,0.772,0.861,0.694
Argentina,37,ARG,2001,0.682,0.835,0.929,0.74,0.953,0.778,0.71,0.939,0.46,0.932,0.919,0.926,0.93,0.955,0.772,0.861,0.694
Argentina,37,ARG,2002,0.666,0.825,0.925,0.724,0.938,0.771,0.712,0.939,0.518,0.924,0.889,0.904,0.925,0.952,0.793,0.861,0.698
Argentina,37,ARG,2003,0.645,0.81,0.918,0.703,0.906,0.771,0.714,0.939,0.555,0.917,0.858,0.904,0.925,0.929,0.781,0.861,0.694
Argentina,37,ARG,2004,0.641,0.804,0.914,0.693,0.914,0.771,0.714,0.879,0.555,0.917,0.875,0.904,0.929,0.926,0.781,0.861,0.707
Argentina,37,ARG,2005,0.632,0.801,0.913,0.689,0.914,0.749,0.685,0.879,0.555,0.917,0.875,0.904,0.929,0.926,0.781,0.861,0.707
Argentina,37,ARG,2006,0.621,0.789,0.908,0.671,0.907,0.749,0.685,0.879,0.555,0.914,0.875,0.904,0.929,0.92,0.781,0.861,0.707
Argentina,37,ARG,2007,0.617,0.784,0.905,0.663,0.904,0.741,0.674,0.879,0.555,0.91,0.879,0.904,0.929,0.908,0.781,0.875,0.707
Argentina,37,ARG,2008,0.593,0.765,0.896,0.635,0.896,0.746,0.65,0.861,0.555,0.905,0.876,0.904,0.929,0.891,0.781,0.878,0.704
Argentina,37,ARG,2009,0.594,0.764,0.895,0.633,0.892,0.746,0.65,0.861,0.555,0.904,0.876,0.904,0.929,0.889,0.781,0.878,0.707
Argentina,37,ARG,2010,0.591,0.761,0.894,0.629,0.889,0.76,0.65,0.844,0.545,0.901,0.876,0.904,0.929,0.882,0.777,0.884,0.707
Argentina,37,ARG,2011,0.588,0.762,0.894,0.63,0.889,0.722,0.65,0.844,0.545,0.899,0.876,0.903,0.924,0.882,0.777,0.884,0.707
Argentina,37,ARG,2012,0.589,0.766,0.896,0.636,0.889,0.715,0.65,0.844,0.545,0.893,0.867,0.892,0.918,0.882,0.777,0.884,0.707
Argentina,37,ARG,2013,0.594,0.774,0.9,0.649,0.895,0.707,0.649,0.847,0.554,0.894,0.865,0.883,0.927,0.886,0.76,0.884,0.706
Argentina,37,ARG,2014,0.604,0.786,0.906,0.667,0.904,0.717,0.649,0.847,0.554,0.895,0.865,0.883,0.927,0.89,0.76,0.884,0.706
Argentina,37,ARG,2015,0.601,0.776,0.901,0.65,0.88,0.76,0.653,0.847,0.533,0.879,0.858,0.839,0.925,0.883,0.75,0.884,0.706
Argentina,37,ARG,2016,0.616,0.753,0.89,0.616,0.862,0.836,0.757,0.898,0.436,0.892,0.861,0.843,0.922,0.921,0.786,0.856,0.722
Argentina,37,ARG,2017,0.612,0.754,0.89,0.618,0.848,0.824,0.743,0.88,0.41,0.875,0.853,0.794,0.928,0.914,0.7,0.839,0.74
Argentina,37,ARG,2018,0.637,0.783,0.905,0.662,0.858,0.805,0.741,0.903,0.408,0.891,0.859,0.842,0.931,0.91,0.737,0.859,0.74
Argentina,37,ARG,2019,0.626,0.788,0.907,0.669,0.863,0.767,0.733,0.903,0.409,0.874,0.835,0.811,0.915,0.909,0.723,0.861,0.74
Argentina,37,ARG,2020,0.644,0.805,0.915,0.695,0.879,0.718,0.785,0.888,0.48,0.886,0.852,0.9,0.86,0.914,0.69,0.891,0.713
Argentina,37,ARG,2021,0.64,0.797,0.911,0.683,0.867,0.754,0.785,0.888,0.48,0.872,0.831,0.895,0.819,0.91,0.689,0.884,0.731
Argentina,37,ARG,2022,0.661,0.832,0.928,0.736,0.92,0.744,0.73,0.888,0.48,0.875,0.845,0.823,0.879,0.934,0.682,0.886,0.744
Argentina,37,ARG,2023,0.695,0.838,0.931,0.746,0.937,0.819,0.779,0.888,0.404,0.907,0.869,0.882,0.91,0.939,0.765,0.858,0.757
Argentina,37,ARG,2024,0.553,0.712,0.869,0.556,0.761,0.816,0.633,0.833,0.387,0.854,0.853,0.882,0.87,0.827,0.727,0.758,0.74
Australia,67,AUS,2000,0.84,0.883,0.951,0.814,0.964,0.943,0.989,0.956,0.034,0.953,0.981,0.979,0.922,0.968,0.924,0.857,0.946
Australia,67,AUS,2001,0.839,0.882,0.951,0.813,0.964,0.943,0.989,0.956,0.034,0.954,0.981,0.979,0.922,0.967,0.924,0.857,0.946
Australia,67,AUS,2002,0.834,0.876,0.948,0.805,0.965,0.943,0.989,0.937,0.034,0.952,0.981,0.979,0.922,0.964,0.924,0.857,0.946
Australia,67,AUS,2003,0.834,0.876,0.948,0.805,0.965,0.943,0.989,0.937,0.034,0.952,0.981,0.979,0.922,0.964,0.924,0.857,0.946
Australia,67,AUS,2004,0.833,0.877,0.948,0.805,0.965,0.943,0.989,0.937,0.034,0.952,0.981,0.979,0.922,0.964,0.924,0.857,0.946
Australia,67,AUS,2005,0.832,0.877,0.949,0.805,0.965,0.943,0.989,0.937,0.034,0.952,0.981,0.979,0.922,0.964,0.924,0.857,0.946
Australia,67,AUS,2006,0.832,0.877,0.949,0.805,0.965,0.943,0.989,0.937,0.034,0.952,0.981,0.979,0.922,0.964,0.924,0.857,0.946
